HistoricalDataLogger file: HistoricalWaferDataLogs\PM4\Std_PM4.1429600.23AA.11-18-2016.15-52-30.txt

Version:   SW=4.4.1.001 of 9/4/14     Config=UP-CLC 4.4.1
Control Source: Local
machineID: Machine	waferId: 1429600.23	Recipe: TSO_B_1590nm
Equipment: CLN200  for  Epcos, P/3729  on  pcma3210
User:      system

Reset Logging Event Name	nil
Start Logging Event Name	PreparingForOperationSetStarted
Stop Logging Event Name		OperationSetEnded


Start:(November 18, 2016   3:52:53 PM)(0)	End:(November 18, 2016   4:40:53 PM) (2880365)                                                                

Channel Data: 
Number of channels =	24	Duration = 2880.36 (sec)        
Channel 1	name =	ChuckDrivePositionCountActual	period =1000ms	2308 samples                
Channel 2	name =	ChuckTempControlDCBiasActVoltage	period =1000ms	2308 samples                
Channel 3	name =	ChuckTempControlSensor	period =1000ms	2307 samples                
Channel 4	name =	CurrentStepNumber	period =1000ms	2308 samples                
Channel 5	name =	DCActualCurrent	period =1000ms	2307 samples                
Channel 6	name =	DCActualPower	period =1000ms	2308 samples                
Channel 7	name =	DCActualVoltage	period =1000ms	2308 samples                
Channel 8	name =	DCHardArcPerRun	period =1000ms	2307 samples                
Channel 9	name =	DCMicroArcPerRun	period =1000ms	2308 samples                
Channel 10	name =	DCPowerCorrection	period =1000ms	2308 samples                
Channel 11	name =	DCShieldLifeCounter	period =1000ms	2308 samples                
Channel 12	name =	DCTargetLifeCounter	period =1000ms	2308 samples                
Channel 13	name =	FlexiCathMagnetPositionSensor	period =1000ms	2308 samples                
Channel 14	name =	GasVacuumSystemGas1Sensor	period =1000ms	2308 samples                
Channel 15	name =	GasVacuumSystemGas3Sensor	period =1000ms	2307 samples                
Channel 16	name =	GasVacuumSystemPressureReaderManagerPressure	period =1000ms	2307 samples                
Channel 17	name =	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	period =1000ms	2308 samples                
Channel 18	name =	MatchingSeriesCapacitorPositionSensor	period =1000ms	2308 samples                
Channel 19	name =	MatchingShuntCapacitorPositionSensor	period =1000ms	2308 samples                
Channel 20	name =	ProcessTimerTimeCorrection	period =1000ms	2307 samples                
Channel 21	name =	RFBiasDCVoltageSensor	period =1000ms	2307 samples                
Channel 22	name =	RFBiasLoadPowerCorrection	period =1000ms	2308 samples                
Channel 23	name =	RFBiasLoadPowerSensor	period =1000ms	2307 samples                
Channel 24	name =	RFBiasReflectedPowerSensor	period =1000ms	2308 samples                

No. of steps = 4
Step   	_Ar            	_N2            	_O2            	author         	ChuckDriveProce	ChuckDriveProce	ChuckDriveProce	ChuckGasFlowSet	ChuckGasPressur	ChuckTemperatur	ChuckTemperatur	ChuckTemperatur	cleanAfterStep 	comment        	DCChopperFreque	DCChopperPulsWi	DCControlMode  	DCCurrentSetpoi	DCPowerModulati	DCPowerModulati	DCPowerModulati	DCPowerSetpoint	DCRampTime     	DCVoltageSetpoi	DCXHardArcPerRu	DCXMicroArcPerR	FlexiCathMagnet	FlexiCathMagnet	FlexiCathTiltCo	FlexiCathTiltCo	jobSettablePara	lastUpdate     	MatchingSeriesC	MatchingShuntCa	name           	owner          	powerOnAfterSte	Pressure       	ProcessEndCondi	ProcessTime    	processType    	PumpMode       	RecipeExecution	RFBiasControlMo	RFBiasDCVoltage	RFBiasLoadPower	RFBiasRampTime 	RFBiasReflected	ThrottleEnable 	
(Units)	(sccm)         	(sccm)         	(sccm)         	(none)         	()             	(SerOffsInc)   	()             	(sccm)         	(mTorr)        	()             	(degC)         	()             	(none)         	(none)         	(kHz)          	(ns)           	()             	(A)            	(%)            	()             	(Degree)       	(W)            	(s)            	(V)            	()             	()             	()             	(mm)           	(none)         	(none)         	(none)         	(none)         	(steps)        	(steps)        	(none)         	(none)         	(none)         	(mTorr)        	()             	(s)            	(none)         	()             	()             	()             	(V)            	(W)            	(s)            	(W)            	()             	
1      	0.0            	0.0            	0.0            	s              	Setpoint       	-6144.0        	Process        	0.0            	0.0            	Setpoint       	70.0           	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	Recipe         	25.0           	2.1            	270.0          	OrderedCollecti	2016/11/14 14:3	560            	450            	TSO_B_Evac     	s              	false          	6.75057e-3     	Pressure       	15.0           	               	Pumpdown       	true           	DCVoltage      	0.0            	0.0            	0.0            	10.0           	false          	

2      	35.0           	0.0            	30.0           	system         	DontChange     	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/09/01 15:5	0              	0              	TSO_B_Stab     	system         	false          	0.0            	Time           	15.0           	               	Pumpdown       	true           	DCVoltage      	0.0            	0.0            	0.0            	10.0           	true           	

3      	35.0           	0.0            	30.0           	system         	DontChange     	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	2750.0         	0.0            	250.0          	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/09/01 16:0	0              	0              	TSO_B_1590nm   	system         	false          	0.0            	Time           	2839.0         	               	Pumpdown       	false          	LoadPower      	0.0            	120.0          	0.0            	10.0           	true           	

4      	0.0            	0.0            	0.0            	system         	DontChange     	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/09/01 15:5	0              	0              	TSO_B_EvacClean	system         	false          	7.50064e-4     	Time           	5.0            	               	Pumpdown       	false          	DCVoltage      	0.0            	0.0            	0.0            	10.0           	false          	


HistoricalData:
ChuckDrivePositionCountActual	ChuckDrivePositionCountActual	ChuckTempControlDCBiasActVoltage	ChuckTempControlDCBiasActVoltage	ChuckTempControlSensor	ChuckTempControlSensor	CurrentStepNumber	CurrentStepNumber	DCActualCurrent	DCActualCurrent	DCActualPower	DCActualPower	DCActualVoltage	DCActualVoltage	DCHardArcPerRun	DCHardArcPerRun	DCMicroArcPerRun	DCMicroArcPerRun	DCPowerCorrection	DCPowerCorrection	DCShieldLifeCounter	DCShieldLifeCounter	DCTargetLifeCounter	DCTargetLifeCounter	FlexiCathMagnetPositionSensor	FlexiCathMagnetPositionSensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	MatchingSeriesCapacitorPositionSensor	MatchingSeriesCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	ProcessTimerTimeCorrection	ProcessTimerTimeCorrection	RFBiasDCVoltageSensor	RFBiasDCVoltageSensor	RFBiasLoadPowerCorrection	RFBiasLoadPowerCorrection	RFBiasLoadPowerSensor	RFBiasLoadPowerSensor	RFBiasReflectedPowerSensor	RFBiasReflectedPowerSensor	
msec	SerInc	msec	V	msec	degC	msec	no unit	msec	A	msec	W	msec	V	msec	no unit	msec	no unit	msec	%	msec	kWh	msec	kWh	msec	mm	msec	sccm	msec	sccm	msec	mTorr	msec	mTorr	msec	steps	msec	steps	msec	%	msec	V	msec	%	msec	W	msec	W	
63	1502	188	0	1186	76	63	1	1062	0.0	687	0	313	0	937	150	813	4324	188	-3.3	563	200.613	438	258.791	188	25.07	63	0.0	1186	0.0	1062	1.28334e-3	563	1.93814e-3	438	560	313	450	1062	0.4	1186	0	813	-1.7	937	0	687	0	
1311	1502	1436	0	2435	76	1311	1	2310	0.0	1936	0	1561	0	2185	150	2061	4324	1436	-3.3	1811	200.613	1686	258.791	1436	25.07	1311	0.0	2435	0.0	2310	1.07406e-3	1811	1.11508e-3	1686	560	1561	450	2310	0.4	2435	0	2061	-1.7	2185	0	1936	0	
2559	1502	2684	0	3684	76	2559	1	3558	0.0	3184	0	2809	0	3433	150	3308	4324	2684	-3.3	3059	200.613	2934	258.791	2684	25.07	2559	0.0	3684	0.0	3558	1.01535e-3	3059	1.01535e-3	2934	560	2809	450	3558	0.4	3684	0	3308	-1.7	3433	0	3184	0	
3808	1502	3933	0	4931	76	3808	1	4806	0.0	4432	0	4057	0	4682	150	4557	4324	3933	-3.3	4307	200.613	4182	258.791	3933	25.07	3808	0.0	4931	0.0	4806	9.96498e-4	4307	1.00588e-3	4182	560	4057	450	4806	0.4	4931	4	4557	-1.7	4682	0	4432	0	
5056	1502	5181	4	6179	76	5056	1	6054	0.0	5680	0	5306	0	5930	150	5805	4324	5181	-3.3	5555	200.613	5431	258.791	5181	25.07	5056	0.0	6179	0.0	6054	9.77998e-4	5555	9.77998e-4	5431	560	5306	450	6054	0.4	6179	4	5805	-1.7	5930	0	5680	0	
6304	1502	6429	0	7428	76	6304	1	7303	0.0	6928	0	6554	0	7178	150	7053	4324	6429	-3.3	6804	200.613	6678	258.791	6429	25.07	6304	0.0	7428	0.0	7303	9.59843e-4	6804	9.59843e-4	6678	560	6554	450	7303	0.4	7428	0	7053	-1.7	7178	0	6928	0	
7553	1502	7677	0	8675	76	7553	1	8550	0.0	8176	0.0	7802	0	8426	150	8301	4324	7677	-3.3	8052	200.613	7927	258.791	7677	25.07	7553	0.0	8675	0.0	8551	9.33238e-4	8052	9.50891e-4	7927	560	7802	450	8551	0.4	8675	0	8301	-1.7	8426	0	8176	0	
8800	-100699	8925	0	9923	76	8800	1	9798	0.0	9424	0.0	9049	0	9673	150	9548	4324	8925	-3.3	9301	200.613	9174	258.791	8925	25.07	8800	0.0	9923	24.4382	9798	9.24536e-4	9301	9.33238e-4	9174	560	9049	450	9798	0.4	9923	0	9548	-1.7	9673	0	9424	0	
10048	-100699	10172	0	11171	76	10048	2	11046	0.0	10671	0	10297	0	10921	150	10796	4324	10172	-3.3	10547	200.613	10422	258.791	10172	25.07	10048	32.0566	11171	30.1435	11046	3.62217	10547	2.73461	10422	560	10297	450	11046	0.4	11171	0	10796	-1.7	10921	0	10671	0	
11295	-100699	11420	0	12418	76	11295	2	12293	0.0	11919	0	11545	0	12168	150	12044	4324	11420	-3.3	11794	200.613	11669	258.791	11420	25.07	11295	35.1671	12418	30.1435	12293	4.0532	11794	3.97796	11669	560	11545	450	12293	0.4	12418	0	12044	-1.7	12168	0	11919	0	
12543	-100699	12668	0	13666	76	12543	2	13542	0.0	13166	0	12793	0	13416	150	13292	4324	12668	-3.3	13042	200.613	12918	258.791	12668	25.07	12543	35.2306	13666	30.1884	13542	4.09136	13042	4.09136	12918	560	12793	450	13542	0.4	13666	0	13292	-1.7	13416	0	13166	0	
13790	-100699	13916	0	14913	76	13790	2	14789	0.0	14415	0	14040	0	14664	150	14539	4324	13916	-3.3	14290	200.613	14165	258.791	13916	25.07	13790	35.2306	14913	30.1435	14789	4.12987	14290	4.12987	14165	560	14040	450	14789	0.4	14913	0	14539	-1.7	14664	0	14415	0	
15038	-100699	15163	0	16161	76	15038	2	16038	0.0	15662	0	15288	0	15912	150	15787	4324	15163	-3.3	15537	200.613	15412	258.791	15163	25.07	15038	35.1671	16161	30.1435	16038	4.12987	15537	4.09136	15412	560	15288	450	16038	0.4	16161	0	15787	-1.7	15912	0	15662	0	
16286	-100699	16411	0	17409	76	16286	2	17284	0.0	16910	0	16536	0	17159	150	17036	4324	16411	-3.3	16785	200.613	16660	258.791	16411	25.07	16286	35.2306	17409	30.1435	17284	4.09136	16785	4.09136	16660	560	16536	450	17284	0.4	17409	0	17036	-1.7	17159	0	16910	0	
17533	-100699	17658	0	18657	76	17533	2	18533	0.0	18158	0	17783	0	18408	150	18282	4324	17658	-3.3	18033	200.613	17908	258.791	17658	25.07	17533	35.1671	18657	30.1435	18533	4.12987	18033	4.12987	17908	560	17783	450	18533	0.4	18657	0	18282	-1.7	18408	0	18158	0	
18782	-100699	18907	0	19905	76	18782	2	19781	0.0	19407	0	19032	0	19655	150	19531	4324	18907	-3.3	19282	200.613	19156	258.791	18907	25.07	18782	35.2306	19905	30.1435	19781	4.12987	19282	4.09136	19156	560	19032	450	19781	0.4	19905	0	19531	-1.7	19655	0	19407	0	
20030	-100699	20155	0	21154	76	20030	2	21029	0.0	20654	0	20286	0	20904	150	20779	4324	20155	-3.3	20529	200.613	20405	258.791	20155	25.07	20030	35.1671	21154	30.1435	21029	4.12987	20530	4.0532	20405	560	20286	450	21029	0.4	21154	0	20779	-1.7	20904	0	20654	0	
21278	-100699	21403	0	22401	76	21278	2	22277	0.0	21904	0	21528	0	22152	150	22028	4324	21403	-3.3	21779	200.613	21653	258.791	21403	25.07	21278	35.2306	22401	30.1884	22277	4.09136	21779	4.12987	21653	560	21528	450	22277	0.4	22401	0	22028	-1.7	22152	0	21904	0	
22527	-100699	22651	0	23651	76	22527	2	23525	0.0	23151	0	22776	0	23401	150	23275	4324	22651	-3.3	23026	200.613	22902	258.791	22651	25.07	22527	35.2306	23651	30.1435	23525	4.09136	23026	4.09136	22902	560	22776	450	23525	0.4	23651	0	23276	-1.7	23401	0	23151	0	
23775	-100699	23900	0	24898	76	23775	2	24773	0.0	24399	0	24025	0	24648	150	24523	4324	23900	-3.3	24274	200.613	24149	258.791	23900	25.07	23775	35.2306	24898	30.1435	24773	4.12987	24274	4.12987	24149	560	24025	450	24773	0.4	24898	0	24523	-1.7	24648	0	24399	0	
25023	-100699	25148	0	26146	76	25023	3	26022	10.94	25647	2660	25272	241	25896	150	25772	4324	25148	-3.3	25523	200.612	25397	258.79	25148	25.07	25023	35.1671	26146	30.0986	26022	3.97796	25523	4.0154	25397	560	25272	450	26022	0.4	26146	0	25772	-1.7	25897	117	25647	0	
26271	-100699	26396	-63	27394	143	26271	3	27270	10.82	26895	2660	26520	245	27146	0	27020	1	26396	-3.3	26771	200.611	26645	258.79	26396	25.07	26271	35.1036	27394	30.0536	27270	3.97796	26771	3.97796	26645	560	26520	450	27270	0.4	27394	-63	27020	-1.7	27146	116	26895	1	
